,price,bhk,area
823,₹15 Lac ,1 BHK Flat for Sale in Mumbai,Super Area440 sqft
824,₹92 Lac ,"1 BHK Flat for Sale in Dahisar East, Mumbai",Super Area675 sqft
825,₹45 Lac ,"1 BHK Flat for Sale in Goregaon, Mumbai",Carpet Area700 sqft
826,₹1.35 Cr ,"1 BHK Flat for Sale in Kalina, Mumbai",Carpet Area464 sqft
827,₹70 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area315 sqft
828,₹2.58 Cr ,"2 BHK Flat for Sale in Orlem, Mumbai",Carpet Area865 sqft
829,₹2.85 Cr ,"2 BHK Flat for Sale in Vile Parle West, Mumbai",Carpet Area800 sqft
830,₹70 Lac ,1 BHK Flat for Sale in Mumbai,Super Area470 sqft
831,₹1.50 Cr ,"2 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area508 sqft
832,₹95 Lac ,"3 BHK Flat for Sale in Vasai East, Mumbai",Carpet Area886 sqft
833,₹3.80 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area963 sqft
834,₹70 Lac ,"2 BHK Flat for Sale in Evershine City, Mumbai",Carpet Area635 sqft
835,₹55 Lac ," Studio Apartment for Sale in Borivali West, Mumbai",Super Area180 sqft
836,₹78 Lac ,"1 BHK Flat for Sale in Daulat Nagar Borivali East, Mumbai",Carpet Area380 sqft
837,₹6.50 Cr ,"4 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area1990 sqft
838,₹16 Cr ,"4 BHK Flat for Sale in Worli, Mumbai",Carpet Area3500 sqft
839,₹13.5 Lac ,"1 BHK Flat for Sale in Virar East, Mumbai",Carpet Area380 sqft
840,₹1.87 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",Super Area650 sqft
841,₹1.50 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area678 sqft
842,₹90 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area845 sqft
843,₹1.69 Cr ,2 BHK Flat for Sale in Mumbai,Carpet Area550 sqft
844,₹85 Lac ,"1 BHK Flat for Sale in Malad East, Mumbai",Super Area620 sqft
845,₹11 Cr ,"3 BHK Flat for Sale in Prabhadevi, Mumbai",Carpet Area1500 sqft
846,₹1.40 Cr ,2 BHK Flat for Sale in Mumbai,Super Area1000 sqft
847,₹3.60 Cr ,"2 BHK Flat for Sale in Vile Parle West, Mumbai",Carpet Area860 sqft
848,₹4.50 Cr ,"3 BHK Flat for Sale in Girgaon, Mumbai",Carpet Area1000 sqft
849,₹1.10 Cr ,"1 BHK Flat for Sale in Malad East, Mumbai",Carpet Area423 sqft
850,₹8 Cr ,"5 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area1820 sqft
851,₹3.20 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area936 sqft
852,₹31 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",Carpet Area650 sqft
853,₹94 Lac ,"1 BHK Flat for Sale in Tambe Nagar, Mumbai",Carpet Area350 sqft
854,₹4.45 Cr ,"2 BHK Flat for Sale in Girgaon, Mumbai",Carpet Area646 sqft
855,₹1.05 Cr ,"1 BHK Flat for Sale in Powai, Mumbai",Carpet Area400 sqft
856,₹1.50 Cr ,"2 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area563 sqft
857,₹1.35 Cr ,"1 BHK Flat for Sale in Santacruz East, Mumbai",Super Area610 sqft
858,₹10 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area2000 sqft
859,₹1.25 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area537 sqft
860,₹1.10 Cr ,"1 BHK Flat for Sale in Jogeshwari East, Mumbai",Carpet Area375 sqft
861,₹1.96 Cr ,"2 BHK Flat for Sale in Chandivali, Mumbai",Carpet Area720 sqft
862,₹93 Lac ,"1 BHK Flat for Sale in Goregaon East, Mumbai",Super Area480 sqft
863,₹65 Lac ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area270 sqft
864,₹55 Lac ,1 BHK Flat for Sale in Mumbai,Super Area535 sqft
865,₹5.75 Cr ,"4 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area2000 sqft
866,₹1.05 Cr ,"1 BHK Flat for Sale in Jogeshwari East, Mumbai",Carpet Area432 sqft
867,₹1.95 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area750 sqft
868,₹1.75 Cr ,"2 BHK Flat for Sale in Sagar Prasad Society, Mumbai",Carpet Area650 sqft
869,₹4.35 Cr ,"3 BHK Flat for Sale in Juhu, Mumbai",Carpet Area950 sqft
870,₹4.85 Cr ,"3 BHK Flat for Sale in Vile Parle East, Mumbai",Carpet Area1011 sqft
871,₹3.80 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area1060 sqft
872,₹1.49 Cr ,"2 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area800 sqft
873,₹1.90 Cr ,2 BHK Flat for Sale in Mumbai,Carpet Area517 sqft
874,₹88 Lac ,"3 BHK Flat for Sale in Virar West, Mumbai",Super Area1310 sqft
875,₹3.75 Cr ,"2 BHK Flat for Sale in Reclamation, Mumbai",Carpet Area601 sqft
876,₹1.11 Cr ,"1 BHK Flat for Sale in Byculla, Mumbai",Carpet Area410 sqft
877,₹1.35 Cr ,"1 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area450 sqft
878,₹7.25 Cr ,"3 BHK Flat for Sale in Juhu, Mumbai",Super Area1650 sqft
879,₹50 Lac ,2 BHK Flat for Sale in Mumbai,Super Area660 sqft
880,₹90 Lac ,1 BHK Flat for Sale in Mumbai,Super Area350 sqft
881,₹16 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",Carpet Area225 sqft
882,₹50 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area225 sqft
883,₹82 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area800 sqft
884,₹1.70 Cr ,"2 BHK Flat for Sale in Bander Pakhadi, Mumbai",Carpet Area587 sqft
885,₹79 Lac ," Studio Apartment for Sale in Jogeshwari East, Mumbai",Super Area310 sqft
886,₹2.55 Cr ,"1 BHK Flat for Sale in Mahim, Mumbai",Carpet Area510 sqft
887,₹3.75 Cr ,"5 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1579 sqft
888,₹2 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Super Area1040 sqft
889,₹2.30 Cr ,"2 BHK Flat for Sale in Borivali East, Mumbai",Super Area1300 sqft
890,₹1.45 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area850 sqft
891,₹52 Lac ,"2 BHK Flat for Sale in Virar, Mumbai",Carpet Area610 sqft
892,₹2.25 Cr ,"2 BHK Flat for Sale in Kanjurmarg East, Mumbai",Carpet Area692 sqft
893,₹3 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area1100 sqft
894,₹1.85 Cr ,"2 BHK Flat for Sale in Nehru Nagar Kurla, Mumbai",Carpet Area800 sqft
895,₹1.75 Cr ,"2 BHK Flat for Sale in Jogeshwari West, Mumbai",Super Area602 sqft
896,₹28.5 Lac ," Studio Apartment for Sale in Malad West, Mumbai",Carpet Area265 sqft
897,₹20 Lac ," Studio Apartment for Sale in Virar East, Mumbai",Carpet Area365 sqft
898,₹44 Lac ,"2 BHK Flat for Sale in Virar, Mumbai",Super Area850 sqft
899,₹60 Lac ,"1 BHK Flat for Sale in Majas Wadi, Mumbai",Carpet Area235 sqft
900,₹28 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",Carpet Area555 sqft
901,₹52 Lac ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",Super Area525 sqft
902,₹3 Cr ,"3 BHK Flat for Sale in Malad East, Mumbai",Super Area1600 sqft
903,₹78 Lac ,"2 BHK Flat for Sale in Vasai, Mumbai",Carpet Area560 sqft
904,₹2.50 Cr ,"1 BHK Flat for Sale in Hindu Colony Dadar East, Mumbai",Carpet Area495 sqft
905,₹68 Lac ,"1 BHK Flat for Sale in Grant Road, Mumbai",Carpet Area295 sqft
906,₹51 Lac ," Studio Apartment for Sale in Malad West, Mumbai",Carpet Area225 sqft
907,₹62 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area400 sqft
908,₹16 Lac ,"1 BHK Flat for Sale in Nala Sopara, Mumbai",Super Area410 sqft
909,₹1.75 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area690 sqft
910,₹3.80 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Super Area1006 sqft
911,₹58 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area500 sqft
912,₹1.60 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area560 sqft
913,₹1.10 Cr ,"1 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area424 sqft
914,₹1.68 Cr ,"1 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area525 sqft
915,₹2.51 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area760 sqft
916,₹1.75 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area585 sqft
917,₹6.10 Cr ,"3 BHK Flat for Sale in Matunga East, Mumbai",Carpet Area1102 sqft
918,₹90 Lac ,"1 BHK Flat for Sale in Jogeshwari East, Mumbai",Carpet Area387 sqft
919,₹6.66 Cr ,"4 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area1356 sqft
920,₹1.70 Cr ,"2 BHK Flat for Sale in Pratiksha Nagar Vakola, Mumbai",Super Area810 sqft
921,₹32 Lac ," Studio Apartment for Sale in Mira Road, Mumbai",Carpet Area330 sqft
922,₹2.50 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area950 sqft
923,₹50 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area410 sqft
924,₹1.65 Cr ,"1 BHK Flat for Sale in Charni Road, Mumbai",Carpet Area350 sqft
925,₹1.10 Cr ,"1 BHK Flat for Sale in Pestom Sagar Colony, Mumbai",Carpet Area441 sqft
926,₹2.05 Cr ,"1 BHK Flat for Sale in Vile Parle West, Mumbai",Carpet Area530 sqft
927,₹4.50 Cr ,"2 BHK Flat for Sale in Worli, Mumbai",Carpet Area1296 sqft
928,₹94 Lac ,"1 BHK Flat for Sale in Bhandup Village Road, Mumbai",Carpet Area500 sqft
929,₹1.61 Cr ,"2 BHK Flat for Sale in Damodar Park, Mumbai",Carpet Area637 sqft
930,₹30 Lac ," Studio Apartment for Sale in Mira Road Area, Mumbai",Carpet Area380 sqft
931,₹3.61 Cr ,3 BHK Flat for Sale in Mumbai,Carpet Area1000 sqft
932,₹1.70 Cr ,"1 BHK Flat for Sale in Byculla, Mumbai",Carpet Area436 sqft
933,₹74 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area645 sqft
934,₹2 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area734 sqft
935,₹6.45 Cr ,"3 BHK Flat for Sale in Santacruz West, Mumbai",Carpet Area1200 sqft
936,₹2.90 Cr ,"3 BHK Flat for Sale in Chincholi Bunder, Mumbai",Carpet Area852 sqft
937,₹90 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area410 sqft
938,₹2.75 Cr ,"2 BHK Flat for Sale in Amboli, Mumbai",Carpet Area750 sqft
939,₹4.50 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area906 sqft
940,₹1.90 Cr ,"2 BHK Flat for Sale in Film City Road, Mumbai",Super Area590 sqft
941,₹1.90 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Super Area515 sqft
942,₹1.20 Cr ,"1 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area484 sqft
943,₹2.75 Cr ,"2 BHK Flat for Sale in Chira Bazaar, Mumbai",Carpet Area650 sqft
944,₹2.25 Cr ,"2 BHK Flat for Sale in Goregaon, Mumbai",Carpet Area710 sqft
945,₹1.90 Cr ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area508 sqft
946,₹29 Cr ,"5 BHK Flat for Sale in Pali Hill, Mumbai",Carpet Area5000 sqft
947,₹54 Lac ," Studio Apartment for Sale in Mira Road Area, Mumbai",Super Area340 sqft
948,₹1.35 Cr ,"2 BHK Flat for Sale in Dharavi, Mumbai",Carpet Area525 sqft
949,₹65 Lac ,"1 BHK Flat for Sale in Four Bungalows, Mumbai",Super Area235 sqft
950,₹9.87 Cr ,"3 BHK Flat for Sale in Worli, Mumbai",Super Area2120 sqft
951,₹1 Cr ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area350 sqft
952,₹1.30 Cr ,"2 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area515 sqft
953,₹6.75 Cr ,"3 BHK Flat for Sale in Worli, Mumbai",Carpet Area1092 sqft
954,₹90 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area650 sqft
955,₹1.10 Cr ,"1 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area400 sqft
956,₹8.50 Cr ,"4 BHK Flat for Sale in Bandra West, Mumbai",Carpet Area1350 sqft
957,₹1.65 Cr ,"2 BHK Flat for Sale in Mulund, Mumbai",Carpet Area650 sqft
958,₹1.40 Cr ,"1 BHK Flat for Sale in Suchi Dham, Mumbai",Carpet Area386 sqft
959,₹3.10 Cr ,"2 BHK Flat for Sale in Sion, Mumbai",Carpet Area750 sqft
960,₹55 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Carpet Area485 sqft
961,₹2 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Super Area613 sqft
962,₹2.70 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area750 sqft
963,₹1.85 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Carpet Area651 sqft
964,₹82 Lac ,"1 BHK Flat for Sale in Ganesh Nagar Kandivali West, Mumbai",Carpet Area300 sqft
965,₹36 Lac ,"1 BHK Flat for Sale in Mira Bhayandar, Mumbai",Carpet Area395 sqft
966,₹40 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",Carpet Area560 sqft
967,₹1.98 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area720 sqft
968,₹1.25 Cr ,"2 BHK Flat for Sale in Bhayandar East, Mumbai",Carpet Area720 sqft
969,₹3.55 Cr ,"2 BHK Flat for Sale in Parel, Mumbai",Carpet Area650 sqft
970,₹54.5 Lac ,"1 BHK Flat for Sale in Vasai West, Mumbai",Carpet Area420 sqft
971,₹2.20 Cr ,"3 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area1110 sqft
972,₹58 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area420 sqft
973,₹10.50 Cr ,"4 BHK Flat for Sale in Pali Hill, Mumbai",Super Area1400 sqft
974,₹50 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Super Area450 sqft
975,₹1.15 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area580 sqft
976,₹65 Lac ,"1 BHK Flat for Sale in Vakola, Mumbai",Carpet Area255 sqft
977,₹4.50 Cr ,"2 BHK Flat for Sale in Kemps Corner Malabar Hill, Mumbai",Carpet Area800 sqft
978,₹3.25 Cr ,"3 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area880 sqft
979,₹63 Lac ,"2 BHK Flat for Sale in Vasai East, Mumbai",Super Area850 sqft
980,₹4.25 Cr ,"2 BHK Flat for Sale in Dadar East, Mumbai",Carpet Area850 sqft
981,₹4.50 Cr ,"2 BHK Flat for Sale in Vile Parle West, Mumbai",Carpet Area840 sqft
982,₹1.98 Cr ,"2 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area578 sqft
983,₹1.68 Cr ,"2 BHK Flat for Sale in Chandivali, Mumbai",Carpet Area718 sqft
984,₹93 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area530 sqft
985,₹29 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area298 sqft
986,₹4.50 Cr ,"3 BHK Flat for Sale in Khira Nagar, Mumbai",Carpet Area1080 sqft
987,₹65 Lac ,"1 BHK Flat for Sale in Malad East, Mumbai",Carpet Area275 sqft
988,₹1 Cr ,"1 BHK Flat for Sale in Kandivali East, Mumbai",Super Area427 sqft
989,₹90 Lac ,"2 BHK Flat for Sale in Rifle Range Road, Mumbai",Super Area600 sqft
990,₹48 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area525 sqft
991,₹3.85 Cr ,"4 BHK Flat for Sale in Chandivali, Mumbai",Super Area1700 sqft
992,₹6.29 Cr ,"3 BHK Flat for Sale in Bandra West, Mumbai",Carpet Area1040 sqft
993,₹2.50 Cr ,"2 BHK Flat for Sale in Santacruz West, Mumbai",Super Area925 sqft
994,₹5.50 Cr ,"4 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1800 sqft
995,₹1 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Super Area401 sqft
996,₹2.95 Cr ,"3 BHK Flat for Sale in Wadala East, Mumbai",Carpet Area1255 sqft
997,₹3.51 Cr ,"2 BHK Flat for Sale in Gamdevi, Mumbai",Carpet Area610 sqft
998,₹2.25 Cr ,"3 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area750 sqft
999,₹4 Cr ,"2 BHK Flat for Sale in Worli, Mumbai",Carpet Area1000 sqft
1000,₹2.15 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area700 sqft
1001,₹6.20 Cr ,3 BHK Flat for Sale in Mumbai,Carpet Area1000 sqft
1002,₹4 Cr ,"2 BHK Flat for Sale in Dadar West, Mumbai",Carpet Area800 sqft
1003,₹45 Lac ,"2 BHK Flat for Sale in Bolinj, Mumbai",Super Area585 sqft
1004,₹85 Lac ,"1 BHK Flat for Sale in Mahakali Nagar, Mumbai",Super Area341 sqft
1005,₹75 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",Carpet Area488 sqft
1006,₹1.05 Cr ,"1 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area440 sqft
1007,₹70 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area413 sqft
1008,₹1.80 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area700 sqft
1009,₹25 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",Super Area620 sqft
1010,₹32 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",Super Area500 sqft
1011,₹89 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area464 sqft
1012,₹3.80 Cr ,"3 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area1130 sqft
1013,₹74 Lac ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area350 sqft
1014,₹2.85 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area1050 sqft
1015,₹1.15 Cr ,"1 BHK Flat for Sale in Malad West, Mumbai",Carpet Area455 sqft
1016,₹40 Lac ,"2 BHK Flat for Sale in Agashi, Mumbai",Carpet Area603 sqft
1017,₹22 Lac ,1 BHK Flat for Sale in Mumbai,Super Area585 sqft
1018,₹1.75 Cr ,"2 BHK Flat for Sale in Sion, Mumbai",Carpet Area800 sqft
1019,₹90 Lac ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",Super Area269 sqft
1020,₹2 Cr ,"3 BHK Flat for Sale in Bangur Nagar, Mumbai",Carpet Area700 sqft
1021,₹85 Lac ,"1 BHK Flat for Sale in Mulund, Mumbai",Carpet Area275 sqft
1022,₹1.60 Cr ,"1 BHK Flat for Sale in Powai, Mumbai",Super Area380 sqft
1023,₹92 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area555 sqft
1024,₹1.70 Cr ,"2 BHK Flat for Sale in Masjid Bandar, Mumbai",Carpet Area640 sqft
1025,₹2.80 Cr ,"2 BHK Flat for Sale in Parel, Mumbai",Carpet Area620 sqft
1026,₹35 Lac ,"1 BHK Flat for Sale in Nalasopara East, Mumbai",Carpet Area550 sqft
1027,₹1.20 Cr ,"2 BHK Flat for Sale in Nahur East, Mumbai",Super Area890 sqft
1028,₹2.16 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area720 sqft
1029,₹1.28 Cr ,"1 BHK Flat for Sale in Goregaon, Mumbai",Carpet Area407 sqft
1030,₹2.25 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area898 sqft
1031,₹1.55 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area600 sqft
1032,₹2.50 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Super Area1100 sqft
1033,₹1.77 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",Super Area1000 sqft
1034,₹1.70 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area577 sqft
1035,₹2.90 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area1142 sqft
1036,₹32 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",Super Area450 sqft
1037,₹1.71 Cr ,"2 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area662 sqft
1038,₹5.35 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Super Area1100 sqft
1039,₹2 Cr ,"1 BHK Flat for Sale in Girgaon, Mumbai",Carpet Area465 sqft
1040,₹4.95 Cr ,"5 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area1575 sqft
1041,₹6.50 Cr ,"3 BHK Flat for Sale in Dadar West, Mumbai",Carpet Area1312 sqft
1042,₹1.10 Cr ,"1 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area349 sqft
1043,₹1.15 Cr ,"1 BHK Flat for Sale in Dahisar East, Mumbai",Super Area540 sqft
1044,₹40 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area590 sqft
1045,₹2.25 Cr ,"2 BHK Flat for Sale in Kothu Wadi, Mumbai",Super Area682 sqft
1046,₹9 Cr ,"4 BHK Flat for Sale in Prabhadevi, Mumbai",Super Area1700 sqft
1047,₹63 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area277 sqft
1048,₹60.5 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area510 sqft
1049,₹70 Lac ,2 BHK Flat for Sale in Mumbai,Super Area847 sqft
1050,₹1.05 Cr ,"1 BHK Flat for Sale in Mulund East, Mumbai",Super Area504 sqft
1051,₹65 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area770 sqft
1052,₹1.35 Cr ,"1 BHK Flat for Sale in Kandivali East, Mumbai",Super Area460 sqft
1053,₹13 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",Carpet Area250 sqft
1054,₹1.50 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area750 sqft
1055,₹2.30 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area723 sqft
1056,₹2.35 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area782 sqft
1057,₹1.55 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Super Area730 sqft
1058,₹1.60 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Super Area735 sqft
1059,₹1.80 Cr ,"2 BHK Flat for Sale in Sion Koliwada, Mumbai",Carpet Area700 sqft
1060,₹6.75 Cr ,"4 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area1400 sqft
1061,₹1.70 Cr ,"2 BHK Flat for Sale in Dahanukar Wadi, Mumbai",Super Area620 sqft
1062,₹13 Lac ,"1 BHK Flat for Sale in Virar East, Mumbai",Carpet Area345 sqft
1063,₹45 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Super Area539 sqft
1064,₹1.45 Cr ,"2 BHK Flat for Sale in Vikhroli East, Mumbai",Carpet Area560 sqft
1065,₹85 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area415 sqft
1066,₹4.45 Cr ,"3 BHK Flat for Sale in Khar West, Mumbai",Carpet Area924 sqft
1067,₹1.75 Cr ,"2 BHK Flat for Sale in Lokhandwala Township Kandivali East, Mumbai",Carpet Area710 sqft
1068,₹3.25 Cr ,"2 BHK Flat for Sale in Wadala West, Mumbai",Super Area930 sqft
1069,₹35 Lac ,"1 BHK Flat for Sale in Vasai East, Mumbai",Carpet Area450 sqft
1070,₹52 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area220 sqft
1071,₹9.50 Cr ,"3 BHK Flat for Sale in Santacruz West, Mumbai",Carpet Area1250 sqft
1072,₹2.90 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area710 sqft
1073,₹2 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area620 sqft
1074,₹2.95 Cr ,"2 BHK Flat for Sale in Vile Parle West, Mumbai",Carpet Area860 sqft
1075,₹3.80 Cr ,"3 BHK Flat for Sale in Malad West, Mumbai",Carpet Area1095 sqft
1076,₹1.25 Cr ,"1 BHK Flat for Sale in Oshiwara, Mumbai",Carpet Area430 sqft
1077,₹72 Lac ,"2 BHK Flat for Sale in Geeta Nagar Mira Road, Mumbai",Super Area625 sqft
1078,₹1.45 Cr ,3 BHK Flat for Sale in Mumbai,Carpet Area950 sqft
1079,₹3 Cr ,2 BHK Flat for Sale in Mumbai,Carpet Area720 sqft
1080,₹80 Lac ,"1 BHK Flat for Sale in Chuim, Mumbai",Super Area550 sqft
1081,₹50 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area300 sqft
1082,₹95 Lac ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area440 sqft
1083,₹1.50 Cr ,"2 BHK Flat for Sale in Kanjurmarg East, Mumbai",Carpet Area625 sqft
1084,₹3.50 Cr ,"3 BHK Flat for Sale in Borivali West, Mumbai",Super Area1000 sqft
1085,₹1.25 Cr ,"2 BHK Flat for Sale in Govind Nagar Borivali West, Mumbai",Carpet Area660 sqft
1086,₹4.50 Cr ,"3 BHK Flat for Sale in Parel, Mumbai",Carpet Area1078 sqft
1087,₹1.20 Cr ,"2 BHK Flat for Sale in Sion Chunabhatti, Mumbai",Super Area475 sqft
1088,₹1.60 Cr ,"2 BHK Flat for Sale in Goregaon East, Mumbai",Carpet Area850 sqft
1089,₹4.95 Cr ,"4 BHK Flat for Sale in Malad West, Mumbai",Carpet Area1550 sqft
1090,₹55 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area510 sqft
1091,₹38 Lac ,"1 BHK Flat for Sale in Vasai, Mumbai",Super Area680 sqft
1092,₹2.90 Cr ,"3 BHK Flat for Sale in Malad West, Mumbai",Carpet Area985 sqft
1093,₹26 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area348 sqft
1094,₹1.95 Cr ,"2 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area638 sqft
1095,₹47 Lac ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",Super Area375 sqft
1096,₹6.1 Lac ," Studio Apartment for Sale in Kurla East, Mumbai",Super Area132 sqft
1097,₹1.40 Cr ,"1 BHK Flat for Sale in Jogeshwari Vikhroli Link Road, Mumbai",Carpet Area450 sqft
1098,₹1.39 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area727 sqft
