,price,bhk,area
259,₹11.76 Cr ,"3 BHK Flat for Sale in Malabar Hill, Mumbai",Carpet Area1600 sqft
260,₹2.55 Cr ,"2 BHK Flat for Sale in Dadar West, Mumbai",Carpet Area525 sqft
261,₹5 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Super Area1595 sqft
262,₹4.70 Cr ,"3 BHK Flat for Sale in Powai, Mumbai",Carpet Area1098 sqft
263,₹2.40 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",Super Area1225 sqft
264,₹3 Cr ,"4 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area1130 sqft
265,₹2.50 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area900 sqft
266,₹1.66 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Super Area850 sqft
267,₹1.85 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area745 sqft
268,₹86 Lac ,"1 BHK Flat for Sale in Kanjurmarg East, Mumbai",Carpet Area500 sqft
269,₹3 Cr ,"3 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area1250 sqft
270,₹2.05 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area700 sqft
271,₹43.3 Lac ,2 BHK Flat for Sale in Mumbai,Carpet Area1300 sqft
